ID;Y
27253;0
173769;0
138042;0
49748;0
57182;0
101888;1
25831;1
6598;0
102857;1
41363;0
56854;1
8159;1
114033;0
159396;1
72020;0
80230;0
5173;0
59721;0
23209;1
37847;0
32595;0
7417;0
10036;1
108884;1
118737;0
38679;1
59109;0
16430;0
165533;0
82467;1
21496;1
71620;0
106576;0
49177;0
174812;0
10918;1
81230;0
137511;0
116367;1
124598;1
36103;1
75835;1
13857;1
152584;0
145687;0
43355;0
155966;1
73435;0
85819;0
105019;0
86605;0
85462;1
123587;0
171840;1
62011;0
103797;1
34567;1
22587;1
7066;1
44818;0
93752;0
64891;0
171430;1
118935;0
12528;0
6052;0
122257;1
152299;1
170934;0
172769;0
96877;0
28275;0
29823;1
94155;0
111753;0
133163;1
163644;0
97784;0
90903;0
80944;1
9798;0
37138;0
31332;1
58764;1
104325;0
128841;0
5328;1
97177;0
97049;0
124870;0
158132;0
173446;0
55397;0
20111;0
139153;0
148008;1
25665;0
142580;0
81095;0
82063;0
174663;0
2393;1
96824;0
114602;0
164073;0
130641;1
148090;1
40713;0
170540;0
2518;0
163375;1
84597;0
120157;0
131985;1
93637;1
65871;0
162136;0
10436;1
14370;0
39111;0
57579;0
126645;0
78724;1
54893;0
86528;0
145503;0
76739;1
178727;1
49983;0
108041;0
10164;0
50544;1
150718;0
53986;0
54103;0
13637;0
41783;0
76864;0
124448;1
172575;0
95990;0
6053;0
19849;0
22605;1
137555;0
105486;1
129253;0
175137;0
8390;1
6439;0
0;0
98463;1
34748;1
74146;0
36075;0
54666;0
111154;0
56513;0
105161;1
47829;0
31955;0
32170;0
132718;0
174280;0
76669;1
133010;0
8875;1
141192;0
24958;1
16733;0
19035;0
112857;0
150913;0
158663;0
20573;0
92808;0
160582;1
12913;1
130959;0
127756;1
159769;0
85829;1
1368;0
101322;1
121910;0
82125;0
147653;0
125536;1
75196;0
132531;0
54451;0
147272;0
75843;1
80250;0
27010;0
29626;0
167521;0
51881;1
141713;1
6067;1
169325;0
49181;1
115711;1
165406;0
127469;0
128297;0
169444;0
14794;1
85313;0
45974;0
140699;1
43078;0
52831;1
92623;0
21136;0
76793;1
177302;0
132456;1
91981;0
56470;1
107621;0
60408;0
100081;0
100380;0
30889;0
168283;0
13282;0
122725;0
75373;1
31742;0
112916;0
144794;1
17469;0
179807;0
148827;0
75039;0
165795;1
84658;1
33456;0
127537;0
115576;0
16233;0
111143;0
49911;1
132950;0
22768;0
43965;0
70287;1
110338;0
121803;0
126129;0
33450;1
8276;0
43767;1
115454;0
159168;0
61379;0
50786;0
103458;0
97774;1
121592;0
165405;1
158000;1
34660;0
6235;0
49643;0
128635;0
174330;1
68805;0
110980;0
76483;0
64341;0
47248;0
97589;0
149921;0
51284;1
117672;0
22482;1
96579;0
9694;0
11034;1
15847;0
28215;0
19458;0
2571;1
69418;0
114819;0
161257;0
147719;0
65274;1
62952;0
51383;1
14776;0
167861;1
153955;0
79829;0
90801;0
142359;0
1321;0
124360;0
172747;1
16526;1
116578;0
63700;1
49590;1
153677;0
106130;0
113789;0
25214;1
131326;0
141111;1
55742;1
31384;1
42375;0
55665;0
143234;0
24797;1
75178;0
92117;0
97795;0
45069;0
112817;1
91142;1
155514;0
45645;1
154077;1
83214;1
145915;1
63876;0
152313;0
170928;0
139962;1
119372;0
101236;0
79288;0
85673;0
22124;0
180897;0
150403;0
151097;1
53824;1
114238;0
45686;0
1649;0
43122;1
52289;1
26236;0
114890;1
82343;0
156448;1
52643;0
54370;1
157739;0
173976;0
14961;1
138122;1
47074;1
150010;1
158680;0
3113;0
30044;0
105198;0
147177;0
108188;0
8044;0
41342;0
169396;0
174200;1
11335;0
68680;0
5955;1
26302;0
182491;1
181570;0
7243;0
82991;0
69347;0
37940;0
53522;0
71377;1
46399;0
159181;0
59356;0
116403;0
181077;0
168401;0
165157;1
94829;0
106590;1
105191;1
63939;0
72807;0
37518;1
21890;0
85933;1
138592;0
